Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1,Transisi Energi - Teman,Transisi Energi - Keluarga,Transisi Energi - Media Sosial,Transisi Energi - Pemerintah,Transisi Energi - Media Massa,Transisi Energi - Event,Transisi Energi - Buku,Transisi Energi - Internet,Transisi Energi - Lainnya,Transisi Energi - Tidak Tahu,Energi Baru Terbarukan - Teman,Energi Baru Terbarukan - Keluarga,Energi Baru Terbarukan - Media Sosial,Energi Baru Terbarukan - Pemerintah,Energi Baru Terbarukan - Media Massa,Energi Baru Terbarukan - Event,Energi Baru Terbarukan - Buku,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Lainnya,Energi Baru Terbarukan - Tidak Tahu,Krisis Iklim/Perubahan Iklim - Teman,Krisis Iklim/Perubahan Iklim - Keluarga,Krisis Iklim/Perubahan Iklim - Media Sosial,Krisis Iklim/Perubahan Iklim - Pemerintah,Krisis Iklim/Perubahan Iklim - Media Massa,Krisis Iklim/Perubahan Iklim - Event,Krisis Iklim/Perubahan Iklim - Buku,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Teman,Mineral Kritis - Keluarga,Mineral Kritis - Media Sosial,Mineral Kritis - Pemerintah,Mineral Kritis - Media Massa,Mineral Kritis - Event,Mineral Kritis - Buku,Mineral Kritis - Internet,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Sigi,Ya,Ya,Ya,Ya,,,,Pemerintah,Media Massa,Event,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,,Internet,,
Prov Palu,Ya,Ya,Ya,,,,Media Sosial,Pemerintah,,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Kota Palu,Tidak,Ya,Tidak,Ya,Teman,,Media Sosial,Pemerintah,,Event,,Internet,,,Teman,,Media Sosial,Pemerintah,,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,,,,Keluarga,Media Sosial,Pemerintah,,,,Internet,,
Prov Palu,,,Ya,,Teman,Keluarga,Media Sosial,Pemerintah,,,Buku,,,,,,,,,,,,,,Teman,Keluarga,Media Sosial,Pemerintah,,,Buku,,,,,,,,,,,,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,
Sigi,Ya,Ya,Ya,Ya,,,,Pemerintah,Media Massa,Event,Buku,Internet,,,,,,Pemerintah,Media Massa,,Buku,Internet,Lainnya,,Teman,Keluarga,,Pemerintah,Media Massa,,Buku,Internet,,,Teman,Keluarga,,Pemerintah,Media Massa,Event,Buku,Internet,,
Prov Palu,Ya,,Ya,,Teman,,,,,,,Internet,,,,,Media Sosial,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigi,Ya,Ya,Ya,Ya,,,,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,,,,,Pemerintah,,,Buku,Internet,,,,,Media Sosial,,,,Buku,Internet,,
Morowali,Tidak,Tidak,Ya,Tidak,,,,,,,,,,,,,,,,,,,,,Teman,Keluarga,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,
Prov Palu,Ya,Ya,Ya,,,,,,,Event,Buku,,,,,,,,,Event,Buku,,,,,,,,,Event,Buku,,,,,,,,,Event,Buku,,,
Prov Palu,Ya,Ya,,,Teman,,Media Sosial,,Media Massa,,Buku,Internet,Lainnya,,Teman,,Media Sosial,,Media Massa,,Buku,Internet,Lainnya,,,,,,,,,,,,,,,,,,,,,
Prov Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,Event,,Internet,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Morowali,Tidak,Tidak,Ya,Tidak,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,Pemerintah,,,,,,,,,,,,,,,,
Prov Palu,,,Ya,Ya,,,,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Sigi,Ya,Ya,Ya,Tidak,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Prov Palu,Ya,Ya,Ya,Ya,,,,,,Event,,,Lainnya,,,,,,,Event,,,,,,,,,,Event,,,,,,,,,,Event,,,,
Morowali,Tidak,Tidak,Ya,Ya,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Morowali,Ya,Ya,Ya,Ya,Teman,,,,,,Buku,,,,,,,,,,Buku,Internet,,,,,,,,,Buku,Internet,,,Teman,,,,,,Buku,Internet,,
Prov Palu,,Ya,Ya,,,,,,,,,,,,,,Media Sosial,,,Event,,,,,,,Media Sosial,,Media Massa,Event,,,,,,,,,,,,,,
Prov Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,
Kota Palu,Tidak,Tidak,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,Teman,Keluarga,Media Sosial,,,,Buku,Internet,,,Teman,Keluarga,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,,,Tidak Tahu,,,Media Sosial,Pemerintah,Media Massa,,,,,Tidak Tahu,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,Tidak Tahu
Morowali,Ya,Ya,Ya,Ya,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,,,,Event,,,,,Teman,,,,,,,,,,,Keluarga,,,,,,,,
