Daerah,Transisi Energi - Facebook,Transisi Energi - Twitter/ X,Transisi Energi - Instagram,Transisi Energi - Tik Tok,Transisi Energi - Whatsapp,Transisi Energi - Koran,Transisi Energi - Radio,Transisi Energi - Internet,Transisi Energi - Televisi,Transisi Energi - Lainnya.,Transisi Energi - Tidak Tahu.,Energi Baru Terbarukan - Facebook,Energi Baru Terbarukan - Twitter/ X,Energi Baru Terbarukan - Instagram,Energi Baru Terbarukan - Tik Tok,Energi Baru Terbarukan - Whatsapp,Energi Baru Terbarukan - Koran,Energi Baru Terbarukan - Radio,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Televisi,Energi Baru Terbarukan - Lainnya.,Energi Baru Terbarukan - Tidak Tahu.,Krisis Iklim/Perubahan Iklim - Facebook,Krisis Iklim/Perubahan Iklim - Twitter/ X,Krisis Iklim/Perubahan Iklim - Instagram,Krisis Iklim/Perubahan Iklim - Tik Tok,Krisis Iklim/Perubahan Iklim - Whatsapp,Krisis Iklim/Perubahan Iklim - Koran,Krisis Iklim/Perubahan Iklim - Radio,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Televisi,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Facebook,Mineral Kritis - Twitter/ X,Mineral Kritis - Instagram,Mineral Kritis - Tik Tok,Mineral Kritis - Whatsapp,Mineral Kritis - Koran,Mineral Kritis - Radio,Mineral Kritis - Internet,Mineral Kritis - Televisi,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morowali,Facebook,,,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,
Sigi,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,Radio,Internet,Televisi,Lainnya,,Facebook,,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,Lainnya,
Prov Palu,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,
Sigi,Facebook,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,,Instagram,,,Koran,Radio,Internet,,,,,,Instagram,,Whatsapp,,Radio,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,Koran,Radio,Internet,Televisi,Lainnya,
Kota Palu,Facebook,Twitter/ X,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,,,,Internet,,,
Prov Palu,Facebook,,,Tik Tok,,Koran,,Internet,,,,,,,,,,,,,,,Facebook,,,Tik Tok,,Koran,,Internet,,,,,,,,,,,,,,
Sigi,,,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,,,,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,,,,Instagram,Tik Tok,Whatsapp,,,Internet,Televisi,Lainnya,,,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,
Sigi,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,Lainnya,,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,
Prov Palu,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
