type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0366014503,114.4618842658, , ,False, , ,1145, , ,2025-02-22T01:34:07Z, , ,2025/02/22 08:34:07
TRACK,09,-8.0365996901,114.4618836790, , ,False, , ,1147, , ,2025-02-22T01:34:09Z, , ,2025/02/22 08:34:09
TRACK,09,-8.0365971755,114.4618838467, , ,False, , ,1150, , ,2025-02-22T01:34:11Z, , ,2025/02/22 08:34:11
TRACK,09,-8.0365956668,114.4618833438, , ,False, , ,1149, , ,2025-02-22T01:34:13Z, , ,2025/02/22 08:34:13
TRACK,09,-8.0365954991,114.4618833438, , ,False, , ,1149, , ,2025-02-22T01:34:15Z, , ,2025/02/22 08:34:15
TRACK,09,-8.0365952477,114.4618834276, , ,False, , ,1151, , ,2025-02-22T01:34:17Z, , ,2025/02/22 08:34:17
TRACK,09,-8.0365954991,114.4618825894, , ,False, , ,1158, , ,2025-02-22T01:34:19Z, , ,2025/02/22 08:34:19
TRACK,09,-8.0365952477,114.4618825894, , ,False, , ,1171, , ,2025-02-22T01:34:21Z, , ,2025/02/22 08:34:21
TRACK,09,-8.0365940742,114.4618809968, , ,False, , ,1181, , ,2025-02-22T01:34:23Z, , ,2025/02/22 08:34:23
TRACK,09,-8.0365915596,114.4618792366, , ,False, , ,1185, , ,2025-02-22T01:34:25Z, , ,2025/02/22 08:34:25
TRACK,09,-8.0365928169,114.4618778117, , ,False, , ,1203, , ,2025-02-22T01:34:27Z, , ,2025/02/22 08:34:27
TRACK,09,-8.0365934875,114.4618761353, , ,False, , ,1224, , ,2025-02-22T01:34:29Z, , ,2025/02/22 08:34:29
TRACK,09,-8.0365912244,114.4618755486, , ,False, , ,1255, , ,2025-02-22T01:34:31Z, , ,2025/02/22 08:34:31
TRACK,09,-8.0365901347,114.4618734531, , ,False, , ,1284, , ,2025-02-22T01:34:33Z, , ,2025/02/22 08:34:33
TRACK,09,-8.0365889613,114.4618720282, , ,False, , ,1310, , ,2025-02-22T01:34:35Z, , ,2025/02/22 08:34:35
TRACK,09,-8.0365890451,114.4618711900, , ,False, , ,1322, , ,2025-02-22T01:34:37Z, , ,2025/02/22 08:34:37
TRACK,09,-8.0365875363,114.4618714415, , ,False, , ,1364, , ,2025-02-22T01:34:39Z, , ,2025/02/22 08:34:39
TRACK,09,-8.0365899671,114.4618711062, , ,False, , ,1352, , ,2025-02-22T01:34:41Z, , ,2025/02/22 08:34:41
TRACK,09,-8.0365909729,114.4618711062, , ,False, , ,1362, , ,2025-02-22T01:34:43Z, , ,2025/02/22 08:34:43
TRACK,09,-8.0365930684,114.4618697651, , ,False, , ,1351, , ,2025-02-22T01:34:45Z, , ,2025/02/22 08:34:45
TRACK,09,-8.0365921464,114.4618700165, , ,False, , ,1349, , ,2025-02-22T01:34:47Z, , ,2025/02/22 08:34:47
TRACK,09,-8.0365942419,114.4618690107, , ,False, , ,1352, , ,2025-02-22T01:34:49Z, , ,2025/02/22 08:34:49
TRACK,09,-8.0365935713,114.4618691783, , ,False, , ,1359, , ,2025-02-22T01:34:51Z, , ,2025/02/22 08:34:51
TRACK,09,-8.0365946610,114.4618699327, , ,False, , ,1348, , ,2025-02-22T01:34:53Z, , ,2025/02/22 08:34:53
TRACK,09,-8.0365943257,114.4618704356, , ,False, , ,1336, , ,2025-02-22T01:34:55Z, , ,2025/02/22 08:34:55
TRACK,09,-8.0365948286,114.4618710224, , ,False, , ,1325, , ,2025-02-22T01:34:57Z, , ,2025/02/22 08:34:57
TRACK,09,-8.0365955830,114.4618712738, , ,False, , ,1313, , ,2025-02-22T01:34:59Z, , ,2025/02/22 08:34:59
TRACK,09,-8.0365962535,114.4618717767, , ,False, , ,1311, , ,2025-02-22T01:35:01Z, , ,2025/02/22 08:35:01
TRACK,09,-8.0365975108,114.4618710224, , ,False, , ,1304, , ,2025-02-22T01:35:03Z, , ,2025/02/22 08:35:03
TRACK,09,-8.0365945771,114.4618715253, , ,False, , ,1293, , ,2025-02-22T01:35:05Z, , ,2025/02/22 08:35:05
TRACK,09,-8.0365962535,114.4618715253, , ,False, , ,1285, , ,2025-02-22T01:35:07Z, , ,2025/02/22 08:35:07
TRACK,09,-8.0365963373,114.4618727826, , ,False, , ,1282, , ,2025-02-22T01:35:09Z, , ,2025/02/22 08:35:09
TRACK,09,-8.0365960859,114.4618735369, , ,False, , ,1275, , ,2025-02-22T01:35:11Z, , ,2025/02/22 08:35:11
TRACK,09,-8.0365953315,114.4618747942, , ,False, , ,1275, , ,2025-02-22T01:35:13Z, , ,2025/02/22 08:35:13
TRACK,09,-8.0365949962,114.4618754648, , ,False, , ,1269, , ,2025-02-22T01:35:15Z, , ,2025/02/22 08:35:15
TRACK,09,-8.0365944933,114.4618759677, , ,False, , ,1267, , ,2025-02-22T01:35:17Z, , ,2025/02/22 08:35:17
TRACK,09,-8.0365939066,114.4618767221, , ,False, , ,1270, , ,2025-02-22T01:35:19Z, , ,2025/02/22 08:35:19
TRACK,09,-8.0365929008,114.4618766382, , ,False, , ,1269, , ,2025-02-22T01:35:21Z, , ,2025/02/22 08:35:21
TRACK,09,-8.0365931522,114.4618754648, , ,False, , ,1268, , ,2025-02-22T01:35:23Z, , ,2025/02/22 08:35:23
TRACK,09,-8.0365933198,114.4618758839, , ,False, , ,1269, , ,2025-02-22T01:35:25Z, , ,2025/02/22 08:35:25
TRACK,09,-8.0365934037,114.4618766382, , ,False, , ,1269, , ,2025-02-22T01:35:27Z, , ,2025/02/22 08:35:27
TRACK,09,-8.0365933198,114.4618776441, , ,False, , ,1269, , ,2025-02-22T01:35:29Z, , ,2025/02/22 08:35:29
TRACK,09,-8.0365932360,114.4618783984, , ,False, , ,1272, , ,2025-02-22T01:35:31Z, , ,2025/02/22 08:35:31
TRACK,09,-8.0365923140,114.4618788175, , ,False, , ,1271, , ,2025-02-22T01:35:33Z, , ,2025/02/22 08:35:33
TRACK,09,-8.0365911406,114.4618786499, , ,False, , ,1272, , ,2025-02-22T01:35:35Z, , ,2025/02/22 08:35:35
TRACK,09,-8.0365913920,114.4618788175, , ,False, , ,1273, , ,2025-02-22T01:35:37Z, , ,2025/02/22 08:35:37
TRACK,09,-8.0365911406,114.4618789852, , ,False, , ,1278, , ,2025-02-22T01:35:39Z, , ,2025/02/22 08:35:39
TRACK,09,-8.0365908053,114.4618790690, , ,False, , ,1279, , ,2025-02-22T01:35:41Z, , ,2025/02/22 08:35:41
TRACK,09,-8.0365906376,114.4618792366, , ,False, , ,1285, , ,2025-02-22T01:35:43Z, , ,2025/02/22 08:35:43
TRACK,09,-8.0365905538,114.4618794043, , ,False, , ,1287, , ,2025-02-22T01:35:45Z, , ,2025/02/22 08:35:45
TRACK,09,-8.0365903024,114.4618794043, , ,False, , ,1289, , ,2025-02-22T01:35:47Z, , ,2025/02/22 08:35:47
TRACK,09,-8.0365902185,114.4618794043, , ,False, , ,1291, , ,2025-02-22T01:35:49Z, , ,2025/02/22 08:35:49
