Daerah,19,20,21,22
Morowali,"Energi Terbarukan, Kendaraan Listrik, Konversi Energi","Energi dari Sumber Daya Alam, Tenaga Matahari",Pemanasan Global,"Mineral, Dibutuhkan"
Morowali,"Energi Ramah Lingkungan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Perubahan Kondisi Iklim, Pemanasan Global",Mineral Berkurang
Sigi,Tidak berkomentar,Energi dari Sumber Daya Alam,Tidak Tahu,Tidak Tahu
Morowali,"Energi Terbarukan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari",Perubahan Kondisi Iklim,Nikel
Prov Palu,"Konversi Energi, Energi Berkelanjutan",Energi sampah,"Cuaca Ekstrem, Gagal Panen",Tambang
Sigi,"Konversi Energi, Energi Baru",Energi yang Tidak Habis,Cuaca Ekstrem,Krisis Air Bersih
Morowali,"Kendaraan Listrik, Polusi",Energi dari Sumber Daya Alam,Pemanasan Global,"Pengelolaan, Nikel"
Morowali,Tidak berkomentar,tidak berkomentar,Pemanasan Global,Tidak Tahu
Morowali,Lainnya,Bio energi,Kesejahteraan Masyarakat,Hampir Habis
Morowali,"Energi Terbarukan, Konversi Energi",Tenaga Matahari,Pemanasan Global,"Mineral, Tidak Punya Pengganti"
Morowali,"Energi Terbarukan, Konversi Energi",energi baru,Cuaca Ekstrem,SDA Berkurang
Morowali,Tidak berkomentar,tidak berkomentar,Pemanasan Global,Tidak Tahu
Kota Palu,"Energi Listrik, Energi Terbarukan",Energi Gelombang Laut,Cuaca Ekstrem,Tidak Tahu
Morowali,"Energi Listrik, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Perubahan Kondisi Iklim, Banjir",Nikel
Sigi,Belum ada program,Energi baru,"Kerusakan Lingkungan, Cuaca Ekstrem",Kerusakan Lingkungan
Morowali,"Energi Fosil, Polusi",Energi Tidak Terbatas,Bencana Alam,"Mineral, Terbatas"
Prov Palu,"Dampak Iklim, Lingkungan",Pemanfaatan energi,Proses Penyesuaian,Terbatas
Prov Palu,"Energi Listrik, Energi Terbarukan",PLTS,Cuaca Ekstrem,Krisis Air Bersih
Prov Palu,"Energi Berkelanjutan, Konversi Energi",PLTS,Cuaca Ekstrem,"Mineral, Terbatas"
Morowali,Konversi energi,PLTS,Kesehatan,Dampak Ekonomi
Morowali,"Konversi Energi, Nikel",Minyak sawit,Pemanasan Global,Kekurangan Mineral
Prov Palu,"Konversi Energi, Energi Alternatif",PLTA,Degradasi Hutan,Energi Kritis
Sigi,Tidak berkomentar,Berkelanjutan,Cuaca Ekstrem,Tidak Tahu
Morowali,Lainnya,Energi ramah lingkungan,Banjir,SDA Berkurang
Prov Palu,"Konversi Energi, Energi Terbarukan","Angin, air, surya",Cuaca Ekstrem,"Nikel, Batu Bara"
Sigi,"Konversi Energi, Nikel",Lainnya,Dampak Pertambangan,"Energi Terbarukan, Nikel"
Morowali,Dampak kesehatan,Perubahan,Bencana Alam,SDA Berkurang
Kota Palu,Tidak berkomentar,"Energi dari Sumber Daya Alam, Tenaga Matahari",El Nino,Tambang
Morowali,"Emisi, Pola Konsumsi",Berkelanjutan,Energi Alam,"Mineral, Nikel"
Morowali,"Kendaraan Listrik, Energi Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Pemanasan Global, Perubahan Kondisi Iklim","Mineral, Nikel"
Morowali Utara,"Konversi Energi, Energi Organik",PLTS,Kerusakan Hutan,Nikel
Sigi,"Energi Listrik, BBM, Polusi",PLTA,Banjir,Galian C
Morowali Utara,Konversi energi,Tenaga matahari,Kerusakan Hutan,Nikel
Kota Palu,"Kendaraan Listrik, BBM","Fosil, Tenaga Surya, Pengalihan Bahan Bakar Kendaraan",Dampak Pertambangan,SDA Berkurang
Prov Palu,Microhydro,"Microhydro,:Surya panel",Teluk Doggala,Tambang
Kota Palu,"Energi Listrik, Energi Terbarukan",PLTS,Banjir,"Nikel, Emas, Batu Bara"
Prov Palu,"Energi Listrik, PLTU Batubara",Microhydro,Banjir,Nikel
Sigi,"Energi Terbarukan, Energi Fosil",Energi ramah lingkungan,Perubahan Kondisi Iklim,Eksplorasi Mineral
Prov Palu,"Energi Terbarukan, Konversi Energi",Berkelanjutan,Perubahan Kondisi Iklim,"Mineral, Terbatas"
Sigi,"Energi Terbarukan, Konversi Energi",Energi baru,Bencana Alam,Kubangan Tambang
Prov Palu,"Konversi Energi, Energi Bersih",Berkelanjutan,Bencana Alam,"Mineral, Tidak Bisa DIperbaharui"
Sigi,"Energi Terbarukan, Energi Ramah Lingkungan",PLTA,Banjir,Eksploitasi Hutan
Prov Palu,"Konversi Energi, Energi Tidak Terbatas",Energi bersih,Bencana Alam,Mineral
Prov Palu,"Lainnya, Scarcity",Energi alternatif,Perubahan Kondisi Iklim,Krisis Mineral
Sigi,Lainnya,PLTA,Banjir,"Dampak Tambang, SOP"
Prov Palu,"Kendaraan Listrik, Baterai",Pico hydro,Musim Tanam,"Eksploitasi Tambang, Nikel"
Kota Palu,"Energi Terbarukan, Energi Surya",Energi terbarukan,Banjir,Mineral
Prov Palu,"Hydropower, Energi Terbarukan","Energi Alternatif, Air, Angin, Matahari",Banjir,Mineral
Prov Palu,"Energi Ramah Lingkungan, BBM",Energi baru,Bencana Alam,"Mineral, Terbatas"
Prov Palu,"Komitmen, Energi Fosil","Energi Alternatif, Angin, Air, Matahari",Cuaca Ekstrem,"Mineral, Terbatas"
Prov Palu,Energi terbarukan,Energi ramah lingkungan,Cuaca Ekstrem,Eksploitasi SDA
Kota Palu,Bahan bakar langka,Lainnya,"Bencana Alam, Gagal Panen",Tambang
